instrument_q,variable,description,universe,question,question_clean,range,description_recode,order,question_type,topic_area,universe_recode,type_of_variable,multi_index_cols,stacked_crosstab_features,stacked_question_features,select_all_that_apply,level_p_or_h
43,TEACH5,Pandemic impact on education-There was no change because schools did not close,Ask Q43 if Q42 = 1,How has the coronavirus pandemic affected how the children in this household received education for the 2020 – 2021 school year? Select all that apply.,How has the coronavirus pandemic affected how the children in this household received education for the 2020 – 2021 school year?,"<blank>,1",Pandemic impact on how the children in this household received education for the 2020-2021 school year,154,Select All,Education,TBIRTH_YEAR < 2002 and ENROLL = 1,QUESTION,0,0,1,1,household
44,COMPAVAIL,Computer availability for educational purposes,Ask Q44 if Q42 = 1,How often is a computer or other digital device available to children for educational purposes?  Select only one answer.,How often is a computer or other digital device available to children for educational purposes?,1:05,Computer availability to children for educational purposes,155,Multiple Choice,Education,TBIRTH_YEAR < 2002 and ENROLL = 1,QUESTION,0,0,1,0,household
45,COMP1,Provider of computer or digital device-Provided by the children’s school or school district to use outside of school,"Ask Q45 if Q44 in (1,2,3,4)",Is the computer or other digital device …? Select all that apply,Is the computer or other digital device …?,"<blank>,1",Source of the children's computer or other digital device,156,Select All,Education,"TBIRTH_YEAR < 2002 and ENROLL = 1 and COMPAVAIL = (1,2,3,4)",QUESTION,0,0,1,1,household
45,COMP2,"Provider of computer or digital device-Provided by someone in the household or family, or it is the child’s","Ask Q45 if Q44 in (1,2,3,4)",Is the computer or other digital device …? Select all that apply,Is the computer or other digital device …?,"<blank>,1",Source of the children's computer or other digital device,157,Select All,Education,"TBIRTH_YEAR < 2002 and ENROLL = 1 and COMPAVAIL = (1,2,3,4)",QUESTION,0,0,1,1,household
45,COMP3,Provider of computer or digital device-Provided by another source,"Ask Q45 if Q44 in (1,2,3,4)",Is the computer or other digital device …? Select all that apply,Is the computer or other digital device …?,"<blank>,1",Source of the children's computer or other digital device,158,Select All,Education,"TBIRTH_YEAR < 2002 and ENROLL = 1 and COMPAVAIL = (1,2,3,4)",QUESTION,0,0,1,1,household
46,INTRNTAVAIL,Internet availability for educational purposes,Ask Q46 if Q42 = 1,How often is the Internet available to children for educational purposes?  Select only one answer.,How often is the Internet available to children for educational purposes?,1:05,Internet availability to children for educational purposes,159,Multiple Choice,Education,TBIRTH_YEAR < 2002 and ENROLL = 1,QUESTION,0,0,1,0,household
47,INTRNT1,Internet services- Paid for by the children’s school or school district,"Ask Q47 if Q46 in (1,2,3,4)",Are Internet services …? Select all that apply.,Are Internet services …?,"<blank>,1",Source of support for internet services,160,Select All,Education,"TBIRTH_YEAR < 2002 and ENROLL = 1 and INTRNTAVAIL in (1,2,3,4)",QUESTION,0,0,1,1,household
47,INTRNT2,Internet services- Paid for by someone in the household or family,"Ask Q47 if Q46 in (1,2,3,4)",Are Internet services …? Select all that apply.,Are Internet services …?,"<blank>,1",Source of support for internet services,161,Select All,Education,"TBIRTH_YEAR < 2002 and ENROLL = 1 and INTRNTAVAIL in (1,2,3,4)",QUESTION,0,0,1,1,household
47,INTRNT3,Internet services-Paid for by another source,"Ask Q47 if Q46 in (1,2,3,4)",Are Internet services …? Select all that apply.,Are Internet services …?,"<blank>,1",Source of support for internet services,162,Select All,Education,"TBIRTH_YEAR < 2002 and ENROLL = 1 and INTRNTAVAIL in (1,2,3,4)",QUESTION,0,0,1,1,household
47a,SCHLHRS,Children's live virtual contact with teachers in last 7 days,Ask Q47a if Q42 = 1,"During the last 7 days, on how many days did the student(s) have live contact either by phone or video with their teachers? Select only one answer.","During the last 7 days, on how many days did the student(s) have live contact either by phone or video with their teachers?",1:04,Number of days the student(s) had live virtual contact with their teachers in the last 7 days,163,Multiple Choice,Education,TBIRTH_YEAR < 2002 and ENROLL = 1,QUESTION,0,0,1,0,household
48a,TSTDY_HRS,Children's hours studying on their own last 7 days,Ask Q48a if Q42 = 1,"During the last 7 days, about how many hours did the student(s) spend doing learning activities on their own? Do not include time spent with teachers or other household members. Enter the total number of hours for all students. If none, enter 0.","During the last 7 days, about how many hours did the student(s) spend doing learning activities on their own? Do not include time spent with teachers or other household members.",0-40,Number of hours the student(s) spent doing learning activities on their own in the last 7 days,164,Input Value,Education,TBIRTH_YEAR < 2002 and ENROLL = 1,NUMERIC,0,0,1,0,household
48b,TCH_HRS,Hours spent on all teaching activities with chidlren in last 7 days,Ask Q48b if Q42 = 1,"During the last 7 days, about how much time did the student(s) typically spend on all learning activities relative to a school day before the coronavirus pandemic? Select only one answer.","During the last 7 days, about how much time did the student(s) typically spend on all learning activities relative to a school day before the coronavirus pandemic?",1:05,Time spent on all teaching activities with children in the last 7 days relative to a school day before the coronavirus pandemic,165,Multiple Choice,Education,TBIRTH_YEAR < 2002 and ENROLL = 1,QUESTION,0,0,1,0,household
QPS1,TNUM_PS,Number planning to take post-secondary classes,All persons born before 2002,"Before the coronavirus pandemic, how many members of your household, including yourself, were planning to take classes this fall from a college, university, community college, trade school, or other occupational school (such as a cosmetology school or a school of culinary arts)? Please enter a number. If none, enter 0.","Before the coronavirus pandemic, how many members of your household, including yourself, were planning to take classes this fall from a college, university, community college, trade school, or other occupational school (such as a cosmetology school or a school of culinary arts)?",0-40,Number of members of household planning to take post-secondary classes this fall before the pandemic,166,Input Value,Education,TBIRTH_YEAR < 2002,NUMERIC,0,0,1,0,household
QPS2,PSPLANS1,Type of post-sec program household members planning take,Ask QPS2 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall,  what type of program(s) are the classes a part of? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,167,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS2,PSPLANS2,Type of post-sec program household members planning take,Ask QPS2 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall,  what type of program(s) are the classes a part of? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,168,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS2,PSPLANS3,Type of post-sec program household members planning take,Ask QPS2 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall,  what type of program(s) are the classes a part of? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,169,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS2,PSPLANS4,Type of post-sec program household members planning take,Ask QPS2 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall,  what type of program(s) are the classes a part of? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,170,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS2,PSPLANS5,Type of post-sec program household members planning take,Ask QPS2 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall,  what type of program(s) are the classes a part of? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,171,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS2,PSPLANS6,Type of post-sec program household members planning take,Ask QPS2 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall,  what type of program(s) are the classes a part of? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,172,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG1,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,173,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG2,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,174,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG3,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,175,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG4,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,176,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG5,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,177,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG6,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,178,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS3,PSCHNG7,Changes to post-sec education plans,Ask QPS3 if QPS1 > 0,"Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, has the coronavirus pandemic resulted in any of the changes listed below? Select all that apply.","Thinking of all the members of your household who were planning to take classes from a college, university, community college, trade school, or other occupational school this fall, what type of program(s) are the classes a part of?","<blank>,1",Type of post-secondary program household members planning take,179,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG1,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,180,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG2,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,181,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG3,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,182,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG4,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,183,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG5,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,184,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG6,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,185,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG7,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,186,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG8,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,187,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
QPS4,PSWHYCHG9,Why did post-sec educ plans change?,"Ask QPS4 if QPS1 > 0 and at least one of QPS3_2, QPS3_3, QPS3_4, QPS3_5, or QPS3_6, or QPS3_7 =  1",Why did household members’ plans to take classes this fall change? Select all that apply.,Why did household members’ plans to take classes this fall change?,"<blank>,1",Reason household members’ plans to take classes changed this fall,188,Select All,Education,TBIRTH_YEAR < 2002 and TNUM_PS > 0 and PSCHNG1 != 1,QUESTION,0,0,1,1,household
